Country,Refugees
Afghanistan,13969
Albania,41333
Algeria,2509
Andorra,38
Angola,1663
Antigua and Barbuda,19
Argentina,1082
Armenia,43432
Australia,9
Austria,37
Azerbaijan,7463
Bahamas,1300
Bahrain,333
Bangladesh,12841
Barbados,13
Belarus,17797
Belgium,337
Belize,277
Benin,713
Bhutan,708
Bolivia,1106
Bosnia and Herzegovina,2044
Botswana,37
Brazil,6231
Brunei,0
Bulgaria,7442
Burkina Faso,6359
Burundi,5526
Ivory Coast,14127
Cape Verde,0
Cambodia,3489
Cameroon,59294
Canada,459
Cayman Islands,33
Central African Republic,2156
Chad,3864
Chile,573
China,630855
Colombia,161402
Comoros,57
Congo,17259
Costa Rica,959
Côte d'Ivoire,1389
Croatia,719
Cuba,7336
Cyprus,17
Czech Republic,296
Dem. People's Rep. of Korea,210
Dem. Rep. of the Congo,10423
Denmark,8
Djibouti,1269
Dominica,95
Dominican Rep.,830
Ecuador,3590
Egypt,77652
El Salvador,80259
Equatorial Guinea,92
Eritrea,35913
Estonia,2174
Ethiopia,109439
Fiji,6869
Finland,44
France,331
French Guiana,0
Gabon,468
Gambia,10765
Georgia,6903
Germany,570
Ghana,2432
Gibraltar,15
Greece,257
Grenada,178
Guadeloupe,0
Guatemala,70868
Guinea,32240
Guinea-Bissau,328
Guyana,1171
Haiti,213365
Honduras,31649
Hungary,264
Iceland,16
India,60894
Indonesia,44717
Iran (Islamic Rep. of),51713
Iraq,53648
Ireland,7
Israel,1670
Italy,209
Jamaica,3684
Japan,99
Jordan,4103
Kazakhstan,5669
Kenya,23118
Kuwait,913
Kyrgyzstan,6918
Lao People's Dem. Rep.,2195
Latvia,849
Lebanon,5127
Lesotho,30
Liberia,25889
Libya,1471
Lithuania,672
Madagascar,172
Malawi,350
Malaysia,1353
Maldives,62
Mali,9225
Malta,23
Marshall Islands,21
Mauritania,16203
Mauritius,179
Mexico,33563
Micronesia (Federated States of),0
Monaco,19
Mongolia,7506
Montenegro,758
Morocco,1114
Mozambique,9
Myanmar,30894
Namibia,315
Nauru,3
Nepal,51312
Netherlands,97
New Caledonia,
New Zealand,7
Nicaragua,4325
Niger,2138
Nigeria,8527
Niue,105
Norway,10
Oman,24
Pakistan,33036
Palau,0
Palestinian,51
Panama,275
Papua New Guinea,8
Paraguay,234
Peru,11217
Philippines,2565
Poland,493
Portugal,72
Qatar,88
Rep. of Korea,263
Rep. of Moldova,8917
Romania,6347
Russian Federation,65201
Rwanda,9684
Saint Kitts and Nevis,24
Saint Lucia,78
Saint Vincent and the Grenadines,118
San Marino,3
Saudi Arabia,1955
Senegal,3481
Serbia and Kosovo (S/RES/1244 (1999)),17571
Seychelles,186
Sierra Leone,11434
Singapore,257
Slovakia,201
Slovenia,81
Somalia,38689
South Africa,839
South Sudan,27
Spain,109
Sri Lanka,13715
Stateless,9633
Sudan,18701
Suriname,140
Swaziland,25
Sweden,86
Switzerland,18
Syrian Arab Rep.,30700
Tajikistan,1852
Thailand,235
The former Yugoslav Republic of Macedonia,1896
Togo,16589
Tonga,7
Trinidad and Tobago,569
Tunisia,421
Turkey,4898
Turkmenistan,2534
Turks and Caicos Islands,103
Uganda,13006
Ukraine,15322
United Arab Emirates,313
United Kingdom,580
United Rep. of Tanzania,1549
Uruguay,116
Uzbekistan,15434
Various/Unknown,24147
Venezuela (Bolivarian Republic of),59963
Viet Nam,2599
Yemen,3979
Zambia,806
Zimbabwe,15360
